,RATIOS DE CAPITAL (Normativa BIS),,,,
,(%),,,,
TOTAL,,,15,8%,13,8%,18,5%
CORE PRINCIPAL,,,14,8%,12,7%,16,9%
TIER I,,,14,8%,12,7%,16,9%
