% TAA:,9%,,,12%,,,15%
,Bonos Serie C,,,,,,
Vida media (años),11,44,,9,51,,,7,87,
TIR,6,09%,,6,09%,,,6,09%,
Duración (años),7,70,,6,75,,,5,85,
Fecha de liquidación anticipada del,30-sep-24,,28-dic-21,,,30-dic-19,
Fondo al 10%,,,,,,,
