% TAA:,9%,,,12%,,,15%
,Bonos Serie D,,,,,,
Vida media (años),12,44,,10,29,,,8,74,
TIR,8,22%,,8,22%,,,8,22%,
Duración (años),7,14,,6,35,,,5,71,
Fecha de liquidación anticipada del,30-sep-24,,28-dic-21,,,30-dic-19,
Fondo al 10%,,,,,,,
