,Calificaciones,,,Fitch (5 de marzo de,,,Moody’s* (18 de mayo,,,S&P (1 de diciembre de,
,,,,2009),,,de 2009),,,2008),
Corto plazo,,,F1+,,,P-1,,,A-1+,,
Largo plazo,,,AA- (negative outlook),,,Aa2 (negative outlook),,,AA- (negative outlook),,
