,SERIE,,,MOODY’S,,,FITCH,
Serie AG,,,Aaa,,,AAA,,
Serie B (CA),,,A2,,,A,,
Serie B (CM),,,A2,,,A,,
Serie B (CP),,,A2,,,A,,
Serie B (CT),,,A2,,,A,,
Serie C (CA),,,Ba2,,,BBB,,
Serie C(CM),,,Ba2,,,BBB,,
Serie C (CP),,,Ba2,,,BBB,,
Serie C (CT),,,Ba2,,,BBB,,
Serie D (CA),,,C,,,N/A,,
Serie D (CM),,,C,,,N/A,,
Serie D (CP),,,C,,,N/A,,
Serie D (CT),,,C,,,N/A,,
