,Calificaciones,,,Fitch (6 de noviembre de,,,Moody’s (15 de junio de,
,,,,2008),,,2009)*,
Corto plazo,,,F2,,,P-2,,
Largo plazo,,,A- (negative outlook),,,Baa2 (negative outlook),,
