,Calificaciones,,,Fitch (13 de marzo de 2009),,,Moody’s *(15 de junio de,
,,,,,,,2009),
Corto plazo,,,F2,,,P-2,,
Largo plazo,,,BBB+ (stable outlook),,,A3 (negative outlook),,
