,DESGLOSE POR PORCENTAJE DE SUBVENCIÓN (PLAN 2005-2008),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Subsidiación de la,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cuota,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Sin Subsidiación,,,21.792.721,30,,,4,79%,,,222,,,2,43%,
,0 - 5,,,359.047,72,,,0,08%,,,3,,,0,03%,
,5 - 10,,,451.390,65,,,0,10%,,,4,,,0,04%,
,25 - 30,,,57.423,95,,,0,01%,,,1,,,0,01%,
,,,,,,,,,,,,,,
,Totales,,,22.660.583,62,,,4,98%,,,230,,,2,52%,
