,Presidente:,,D. Lluís Gasull Moros
,Consejero Delegado:,,D. Lluís Gasull Moros
,Consejeros:,,D. Jaime Sambola Pijuan
D. Matías Torrellas Jovani
D. Ignacio Martín Morales
D. Ricard Climent Meca
,,,
,Secretario (no consejero):,,Dª. Cristina Puig Carrasco
,Director General:,,D. Carles Fruns Moncunill
