,Serie,,,Número de Bonos,,,Importe,
AG,,,1.832,,,183.200.000,,
B (CA),,,98,,,9.800.000,,
C (CA),,,32,,,3.200.000,,
D (CA),,,61,,,6.100.000,,
Total,,,2.023,,,202.300.000,,
