FONDOS DE TITULIZACION HIPOTECARIA,,
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS,,
FTH UCI 5 Serie A
Serie B
Total,15.005.025,20 €,Euribor 3M + 0.23% Moody´s España 03/06/1999 265.000.000,00 €
Euribor 3M + 0.625%
,2.649.999,60 €,
,17.655.024,80 €,
FTH HIPOTEBANSA XI Serie A
Serie B
Total,173.505.315,04 €,Euribor 3M + 0.24% S&P España / Moody´s España 26/11/2002 1.062.000.000,00 €
Euribor 3M + 0.45%
,10.410.315,12 €,
,183.915.630,16 €,
FTH UCI 10 Serie A
Serie B,142.216.278,40 €,Euribor 3M + 0.16% S&P España 14/05/2004 700.000.000,00 €
Euribor 3M + 0.50%
,9.269.681,40 €,
,151.485.959,80 €,
FTH UCI 12 Serie A
Serie B
Serie C
Total,277.621.072,00,Euribor 3M + 0.15% S&P España 30/05/2005 900.000.000,00 €
Euribor 3M + 0.27%
Euribor 3M + 0.60%
,9.000.000,00,
,23.800.000,00,
,310.421.072,00 €,
TOTAL FTH 663.477.686,76 € 2.927.000.000,00 €,,
