,DBRS,Fitch
Serie A,A (sf),A (sf)
Serie B,BBB (sf),BBB (sf)
Serie C,BB (low) (sf),BB+ (sf)
Serie D,B (low) (sf),BB (sf)
Serie E,C (sf),CC (sf)
