,Bonos Serie E,,,,
Vida media (años),12,22,10,80,9,62,8,76,7,85
TIR,6,551%,6,551%,6,551%,6,551%,6,551%
Duración (años),7,81,7,19,6,62,6,18,5,70
Vencimiento final,18 01 2022,20 04 2020,18 10 2018,18 10 2017,18 07 2016
(en años),16,16,14,42,12,91,11,91,10,66
