Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por Índice de referencia del tipo de interés,,,,
Índice de referencia *,Préstamos
%,,Principal pendiente
(euros) %,
EURIBOR/MIBOR 1 año
MERCADO HIPOTECARIO CAJAS DE AHORROS
MERCADO HIPOTECARIO CONJUNTO ENTIDADES
EURIBOR/MIBOR 3 meses
EURIBOR/MIBOR 6 meses,10.929
2.983
1.120
22
23,72,49
19,79
7,43
0,15
0,15,894.254.763,72
195.592.501,25
67.734.422,18
2.685.362,63
348.616,50,77,05
16,85
5,84
0,23
0,03
Total 15.077 100,00 1.160.615.666,28 100,00,,,,
