Distribución por Bonificación Tipo
de interés,Número de
Préstamos,Saldo Nominal Pendiente no
Vencido,Saldo Nominal
Pendiente No
Vencido %,VTO. Residual
Medio Pond.,VTO. Inicial Medio
Pond.,Tipo Actual Medio
Pond.
