EURIBOR 3M=2,896%,,,,
Diferencial ESCENARIO 10% TAA 12% TAA 15% TAA,,,,
,Vida media (años)
Duración,6,2
5,2,5,4
4,7,4,6
4,0
Serie A,,,,
,Vida media (años)
Duración,10,2
8,4,9,0
7,5,7,6
6,5
,Vida media (años)
Duración,10,2
8,2,9,0
7,4,7,6
6,4
,Vida media (años)
Duración,10,2
7,5,9,0
6,8,7,6
6,0
Fecha de Liquidación Anticipada del Fondo,,22/06/2021,22/12/2019,22/12/2017
