Principal pendiente Préstamos
Intervalo Importes en miles Porcentaje Nº. de Porcentaje
(días) salvo el total, en euros (%) préstamos (%),,,,,,,,,
,0,,2.699.473,22,,91,31,,16.265,,91,47
1 - 30 163.533,07 5,53 940 5,28
30 – 60 57.386,24 1,94 360 2,02
60 - 89 36.003,18 1,21 217 1,22,,,,,,,,,
TOTALES: 2.956.395.725,76 € 100.00 17.782 100.00,,,,,,,,,
