FONDOS DE TITULIZACION HIPOTECARIA
AGENCIA DE FECHA SALDO INICIAL,,
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES CALIFICACION CONSTITUCION ACTIVOS,,
FTH HIPOTEBANSA VI Serie A Libor 3M + 0.12% S&P España / Moody´s 27/10/1997 262.942.795,67 €
29.200.641,87 €
Serie B 2.920.641,87 € Libor 3M + 0.50% España
Total 32.121.283.74 €,,
FTH HIPOTEBANSA VII Serie A
Serie B
Total,54.257.301,90 €
5.425.730,25 €
59.683.032,15 €,Libor 3M + 0.15% S&P España / Moody´s 5/5/1998 317.334.391,12 €
Libor 3M + 0.525% España
FTH UCI 4 Serie A
Serie B
Total,24.797.145,82 €
2.479.714,54 €
27.276.860,36 €,Libor 3M + 0.16% S&P España 25/6/1998 180.303.631,32 €
Libor 3M + 0.575%
FTH HIPOTEBANSA VIII Serie A
Serie B
Total,64.304.037,74 €
6.430.402,92 €
70.734.440,66 €,Libor 3M + 0.27% Fitch IBCA / Moody´s 17/12/1998 328.302.862,02 €
Libor 3M + 0.800% España
FTH UCI 5 Serie A
Serie B
Total,49.897.925,00 €
3.991.833,60 €
59.075.689,60 €,Euribor 3M + 0.23% Moody´s España 3/6/1999 265.000.000,00 €
Euribor 3M + 0.625%
FTH BANESTO 1 Serie A
Serie B
Total,119.144.927,76 €
9.531.596,62 €
146.459.288,20 €,Euribor 3M + 0.23% Moody´s España 29/7/1999 759.000.000,00 €
Euribor 3M + 0.625%
FTH HIPOTEBANSA IX Serie A
Serie B
Total,128.061.177,72 €
12.806.115,00 €
140.867.292,72 €,Euribor 3M + 0.27% Fitch IBCA / Moody´s 10/11/1999 519.200.000,00 €
Euribor 3M + 0.75% España
FTH BANESTO 2 Serie A
Serie B
Total,174.354.582,00 €
12.204.822,50 €
207.140.104,00 €,Euribor 3M + 0.27% Moody´s España 8/5/2000 715.000.00,00 €
Euribor 3M + 0.625%
FTH BANESTO 3 Serie A
Serie B
Total,175.309.216,34 €
17.530.920,75 €
192.840.137,09 €,Euribor 3M + 0.23% Moody´s España 16/7/2001 545.000.000,00 €
Euribor 3M + 0.60%
FTH BANESTO 4 Serie A
Serie B
Total,792.627.546,00 €
45.000.000,00 €
837.627.540,00 €,Euribor 3M + 0.20% S&P España 15/11/2003 1.500.001.867,69 €
Euribor 3M + 0.65%
FTH UCI 10 Serie A
Serie B,319.443.833,80 €
20.390.034,00 €
383.268.974,90 €,Euribor 3M + 0.16% S&P España 14/5/2004 700.000.000,00 €
Euribor 3M + 0.50%
FTH UCI 12 Serie A 578.146.630,40 € Euribor 3M + 0.15% S&P España 30/5/2005 900,000,000,00 €
Serie B 9.000.000,00 € Euribor 3M + 0.27%
Serie C 23.800.000,00 € Euribor 3M + 0.60%
Total 610.946.630,40 €,,
TOTAL 2.768.041.279,82 € 6.992.085,82 €,,
