,Fitch,Standard & Poor’s,Moody’s
Serie A1,AAA,AAA,Aaa
Serie A2,AAA,AAA,Aaa
Serie A3,AAA,AAA,Aaa
Serie B,AA,AA,Aa2
Serie C,A,A,A1
Serie D,BBB,BBB,Baa1
Serie E,BB,BB,Ba2
Serie F,CCC,CCC-,Ca
