SERIE A2,,,
VIDA MEDIA ESTIMADA,5,90,5,05,4,40
DURACIÓN ESTIMADA,5,32,4,63,4,09
VENCIMIENTO ESTIMADO,18/07/2018,18/01/2017,18/10/2015
TIR,4,2171%,4,2171%,4,2171%
