Principal Pendiente (en miles Nº. de Préstamos
de euros)
Intervalo (Euros) Importes en Porcentaje Nº. de Porcentaje
miles salvo el (%) préstamos (%)
total, en euros
7.114,51 - 50.000,00 11.180,81 0,37 284 1,53
50.000,00 - 100.000,00 244.788,31 8,27 3.065 17,18
100.000,00 - 150.000,00 646.812,41 21,87 5.126 28,81
150.000,00 - 200.000,00 818.891,73 27,69 4.719 26,49
200.000,00 - 250.000,00 591.305,56 20,00 2.661 14,95
250.000,00 - 300.000,00 281.954,13 9,53 1.039 5,92
300.000,00 - 350.000,00 132.271,42 4,47 412 2,35
350.000,00 - 400.000,00 70.216,62 2,37 189 1,07
400.000,00 - 450.000,00 51.227,04 1,73 122 0,69
450.000,00 - 500.000,00 21.485,69 0,72 46 0,27
500.000,00 - 1.864.424,00 86.261,96 2,91 119 0,69
TOTALES 2.956.395.725,76 € 100,00 17.782 100,00
