SERIE C,,,
VIDA MEDIA ESTIMADA,17,28,15,03,13,28
DURACIÓN ESTIMADA,11,93,10,83,9,90
VENCIMIENTO ESTIMADO,18/07/2024,18/04/2022,18/07/2020
TIR,4,3517%,4,3517%,4,3517%
