,Serie B,,
Vida media (años),5,48,5,48,5,23
TIR,1,018%,1,018%,1,018%
Duración (años),5,29,5,29,5,05
Vencimiento final,21 09 2022,21 09 2022,21 06 2022
(en años),5,48,5,48,5,23
