Cartera de préstamos seleccionados al día 06/03/2017
Clasificación en función de la clase de tipo de interés,
,Préstamos Principal pendiente
N.º % (euros) %
Préstamos a tipo FIJO,156.487 92,47 1.252.541.459,58 87,93
Préstamos a tipo VARIABLE,12.743 7,53 171.860.314,86 12,07
Total 169.230 100,00 1.424.401.774,44 100,00,
