Cartera de préstamos al día 06/03/2017
Clasificación por sistema de amortización,,
,Préstamos
N.º %,Principal Pendiente
(euros) %
Francés*,169.230 100,00,1.424.401.774,44 100,00
Total 169.230 100,00 1.424.401.774,44 100,00,,
