,,,,Amount of Outstanding Principal represented by their,
,,,,Mortgage Loans 2 (Euros),
,Cajamar,,31,613,554.82,,
,Caixa,,45,589,675.74,,
,Tarragona,,,,
,Total,,77,203,230.56,,
