Series,Amount (EUROS),%,Amortisation,Fitch,Moody’s
A,567,300,000,94.55,Pass-through,AAA,Aaa
B,19,200,000,3.20,Pass-through at the right time,A,A2
C,6,000,000,1.00,Pass-through at the right time,BBB,Baa2
D,7,500,000,1.25,Pass-through at the right time,BB+,Ba2
