,A Bond,,B Bond,,C Bond,,D Bond,
Entity,Number,Amount,Number,Amount,Number,Amount,Number,Amount
Bear Stearns,5,028,502,800,000,192,19,200,000,40,4,000,000,50,5,000,000
International Ltd,,,,,,,,
,45,4,500,000,-,-,20,2,000,000,25,2,500,000
Caixa Tarragona,,,,,,,,
,250,25,000,000,-,-,-,-,-,-
EBN Banco,,,,,,,,
Santander Central,100,10,000,000,-,,-,,-,
Hispano,,,,,,,,
,100,10,000,000,-,-,-,-,-,-
Dexia Bank,,,,,,,,
,150,15,000,000,-,-,-,-,-,-
DZ Bank,,,,,,,,
,,,,,,,,
TOTAL,5,673,567,300,000,192,19,200,000,60,6,000,000,75,7,500,000
