,,,,Amount of Outstanding Principal represented by their,
,,,,Mortgage Loans 1 (Euros),
,Cajamar,,368,386,445.15,,
,Caixa,,154,410,324.25,,
,Tarragona,,,,
,Total,,522,796,769.40,,
