Préstamos
Intervalo Principal pendiente
Hipotecarios
(miles de euros salvo
(Euros) el total, en euros) % nº %
26,05 - 49.999,99 31.523,78 2,26 1.015 8,54
50.000,00 - 99.999,99 365.889,82 26,30 4.662 39,25
100.000,00 - 149.999,99 454.166,71 32,64 3.709 31,23
150.000,00 - 199.999,99 234.539,18 16,85 1.377 11,59
200.000,00 - 249.999,99 123.616,21 8,88 560 4,71
250.000,00 - 299.999,99 68.223,16 4,90 252 2,12
300.000,00 - 349.999,99 39.772,22 2,85 123 1,03
350.000,00 - 399.999,99 31.803,12 2,28 85 0,71
400.000,00 - 449.999,99 20.697,32 1,48 49 0,41
450.000,00 - 499.999,99 18.287,89 1,31 39 0,32
500.000,00 - 549.999,99 2.099,43 0,15 4 0,03
550.000,00 - 551.227,68 551,22 0,03 1 0,00
Totales: 1.391.170.121,43 100,00 11.876 100,00
