Entidades Aseguradoras,Bonos
Serie A,Bonos
Serie B,Bonos
Serie C
BANCO SANTANDER
CENTRAL HISPANO,,,19,2
BNP PARIBAS,687,5,17,1,19,2
ESPIRITO SANTO
INVESTMENT,10,,
DZ BANK AG,10,,
Totales,707,5,17,1,38,4
