Standard &
Poor’s,Fitch,Significado
A-1,F-1,Es la más alta calificación indicando que el grado de
seguridad de cobro en los momentos acordados es muy
alto.
En el caso Standard & Poor’s puede ir acompañado del
símbolo + si la seguridad es extrema.
