Préstamos No
Intervalo Principal pendiente
Hipotecarios
(miles de euros salvo
(euros) el total en euros) % nº %
700,41 - 49.999,99 103.210,66 98,22 5.443 99,39
50.000,00 - 68.470,55 1.861,40 1,77 33 0,60
Totales: 105.072.074,80 100,00 5.476 100,00
