Préstamos No
Intervalo Importes
Hipotecarios
(miles de euros
salvo el total en
(euros) euros) % nº %
1.300,00 - 49.999,99 104.240,00 98,13 5.441 99,36
50.000,00 - 68.980,00 1.980,69 1,86 35 0,63
Totales: 106.220.697,78 100,00 5.476 100,00
