Fechas,EURIBOR,Bonos Serie A,Bonos Serie B,Bonos Serie C
18 de octubre de 2004,2,145%,2,285%,2,395%,2,745%
18 de noviembre de 2004,2,176%,2,316%,2,426%,2,776%
16 de diciembre de 2004,2,175%,2,315%,2,425%,2,775%
18 de enero de 2005,2,144%,2,284%,2,394%,2,744%
17de febrero de 2005,2,135%,2,275%,2,385%,2,735%
17 de marzo de 2005,2,136%,2,276%,2,386%,2,736%
18 de abril de 2005,2,134%,2,274%,2,384%,2,734%
18 de mayo de 2005,2,126%,2,266%,2,376%,2,726%
16 de junio de 2005,2,116%,2,256%,2,366%,2,716%
18 de julio de 2005,2,123%,2,263%,2,373%,2,723%
18 de agosto de 2005,2,132%,2,272%,2,382%,2,732%
16 de septiembre de 2005,2,136%,2,276%,2,386%,2,736%
20 de octubre de 2005,2,187%,2,327%,2,437%,2,787%
