Standard &
Poor’s,Fitch,Significado
AAA,AAA,Capacidad de pago de intereses y devolución del
principal enormemente alta.
AA,AA,Capacidad muy fuerte para pagar intereses y
devolver principal.
A,A,Fuerte capacidad de pagar interés y devolver el
principal. Los factores de protección se consideran
adecuados pero pueden ser susceptibles de empeorar
en el futuro.
BBB,BBB,La protección de los pagos de interés y del principal
puede ser moderada, la capacidad de pago se
considera adecuada. Las condiciones de negocio
adversas podrían conducir a una capacidad
inadecuada para hacer los pagos de interés y del
principal.
BB,BB,Grado especulativo. No se puede considerar que el
futuro esté asegurado. La protección del pago de
intereses y del principal es muy moderada.
B,B,La garantía de los pagos de interés o del principal
puede ser pequeña.
Altamente vulnerables a las condiciones adversas del
negocio.
CCC,CCC,Vulnerabilidad identificada al incumplimiento.
Continuidad de los pagos dependiente de que las
condiciones financieras, económicas y de los
negocios sean favorables.
CC,CC,Altamente especulativos.
C,C,Incumplimiento actual o inminente (sólo para Fitch).
