TIPOS DE INTERÉS DE REFERENCIA DE LOS PRÉSTAMOS NO
HIPOTECARIOS
Principal pendiente
(miles de
euros salvo el
total en euros) %
IRPC (conjunto Cajas de Ahorros) 87.437,65 83,21
Euribor 1 año Banco de España 16.980,80 16,16
IRPH Conjunto de Entidades (Banco de España) 653,61 0,62
Totales: 105.072.074,80 100,00
