RETRASOS EN EL PAGO DE LAS CUOTAS
Préstamos
Intervalo Principal pendiente
Hipotecarios
(miles de euros
(días) salvo el total) % Nº %
0 – 0 1.320.318,39 94,91 11.288 95,05
1 – 14 0,00 0,00 0 0,00
15 – 19 70.851,72 5,09 588 4,95
20 – 30 0,00 0,00 0 0,00
Totales: 1.391.170.121,43 100,00 11.876 100,00
