Provisiones en el ejercicio (V.L.),,,,,451,391,337,3.917,7.209,6.013,9.141
Recuperaciones en el ejercicio,,,,,,,,7.886,10.376,6.058,7.947
Paso a cuentas suspensivas,,,,,,,,,7.941,3.956,6.806
Importe de amort. anticipadas(V.L.),,,,,,60.131,67.216,69.710,108.539,143.476,184.950
