Serie,,,Importe (euros),%,Amortización,Fitch,Moody’s
,A,,567.300.000,94,55%,Pass-through,AAA,Aaa
,B,,19.200.000,3,20%,Pass-through en su momento,A,A2
,C,,6.000.000,1,00%,Pass-through en su momento,BBB,Baa2
,D,,7.500.000,1,25%,Pass-through en su momento,BB+,Ba2
