Serie AS,513.100.000 euros,Aaa / AAA
Serie AG*,449.400.000 euros,Aaa / AAA
Clase B,21.000.000 euros,Aa3 / AA-
Clase C,16.500.000 euros,Baa3 / BBB+
Clase D,26.500.000 euros,C / CCC-
