TAA 20%
Bono Vida Media TIR Duración Vencimiento
Clase A1 0.655 3.760% 0.625 22-feb-08
Clase A2 3.259 3.870% 2.928 22-nov-13
Clase A3 8.598 3.913% 7.073 22-feb-16
Clase B 6.179 3.955% 5.243 22-feb-16
Clase C 6.179 4.070% 5.219 22-feb-16
Clase D 6.179 4.457% 5.140 22-feb-16
Clase E 6.179 6.887% 4.683 22-feb-16
