TAA 17%
Bono Vida Media TIR Duración Vencimiento
Clase A1 0.749 3.761% 0.713 22-may-08
Clase A2 3.807 3.871% 3.378 24-nov-14
Clase A3 10.003 3.913% 8.022 22-ago-17
Clase B 7.191 3.955% 5.978 22-ago-17
Clase C 7.191 4.070% 5.947 22-ago-17
Clase D 7.191 4.457% 5.847 22-ago-17
Clase E 7.191 6.887% 5.270 22-ago-17
