(Euros) 31/12/2003 %var 31/12/2004,,,
Capital,901.650,00,0,00%,901.650,00
Reserva Legal,77.198,22,58,30%,122.203,69
Reservas Voluntaria,164.399,13,3,07,169.448,36
TOTAL,1.143.247,35,4,38,1.193.302,05
