Nombre,Cargo en sociedades cotizadas y/o
relevantes
Don Lluís Gasull Moros (Presidente y
Consejero Delegado),Consejero de La Seda de Barcelona, S.A.
Director General Adjunto de Caixa Catalunya
Don Gabriel Santolaria Arruebo,Director de Factorcat, S.A.
Don Ferran Sicart Ortí,Subdirector de Caixa Catalunya
Don Jaime Sambola Pijuan,Subdirector de Caixa Catalunya
Don Alberto Foz Val,Director de Liscat, S.A.
