,Vida Media, TIR, Duración, y Vida Final Estimada en Función de Diferentes
TACP,,,,
A1,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,0,93 0,81 0,73 0,66 0,61
2,47% 2,47% 2,47% 2,48% 2,48%
0,91 0,80 0,72 0,65 0,60
1,87 1,62 1,38 1,13 1,13,,,,
A2a,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,7,64 6,66 5,89 5,25 4,71
2,53% 2,53% 2,53% 2,53% 2,53%
6,72 5,95 5,32 4,79 4,34
15,63 13,88 12,38 11,14 9,88,,,,
A2a,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,7,64 6,66 5,89 5,25 4,71
2,53% 2,53% 2,53% 2,53% 2,53%
6,72 5,95 5,32 4,79 4,34
15,63 13,88 12,38 11,14 9,88,,,,
B,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,10,58 9,44 8,23 7,51 6,63
2,56% 2,56% 2,56% 2,56% 2,56%
9,13 8,27 7,32 6,75 6,03
15,63 13,88 12,38 11,14 9,88,,,,
C,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,10,58 9,44 8,23 7,51 6,63
2,67% 2,67% 2,67% 2,67% 2,67%
9,08 8,23 7,28 6,72 6,01
15,63 13,88 12,38 11,14 9,88,,,,
D,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,10,58 9,44 8,23 7,51 6,63
2,87% 2,87% 2,87% 2,87% 2,87%
8,97 8,14 7,22 6,66 5,96
15,63 13,88 12,38 11,14 9,88,,,,
E,10%,12%,14%,16%,18%
Vida Media
TIR
Duración
Vida Final Estimada,1,50 1,50 1,51 1,52 1,53
6,08% 6,08% 6,08% 6,08% 6,08%
1,41 1,41 1,42 1,43 1,43
2,88 3,13 3,13 3,13 3,13,,,,
