HIPOTECARIA,Con garantía hipotecaria suficiente
CONSTRUCCION,Para construcción o rehabilitación de edificios destinados a vivienda
PERSONAL,Financiación sin garantía hipotecaria
DESCUBIERTO,Autorización excedidos o descubiertos en cuenta
