,,,,,31.12.2007,,31.12.2006,,(A)/(B),
,,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,,
,,,,200,,191,,1,015,,
,,,,,172,,148,,1,029,
,,,,,169,,163,,1,000,
,,,,,1,,1,,1,000,
,,,,,170,,164,,1,000,
,,,,,25,,22,,1,080,
,,,,,24,,22,,1,083,
,,,,,,,,,,
,CUENTA DE RESULTADOS (millones de euros),,,,,,,,,
,,,,,6,,5,,1,000,
,,,,,6,,5,,1,000,
,,,,,6,,5,,1,167,
,,,,,4,,3,,1,000,
,,,,,3,,2,,1,000,
,,,,,3,,2,,1,000,
,,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,,
,,,,,2,02,,1,68,,,
,,,,,13,04,,9,52,,,
,,,,,1,52,,1,12,,,
,,,,1,66,,1,27,,,,
,,,,,46,00,,55,20,,,
,,,,,50,00,,60,00,,,
,,,,,2,12,,1,83,,,
,,,,,0,48,,1,06,,,
,,,,,101,28,,116,31,,,
,,,,,,,,,,
,RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,,,
,,,,,12,57,,12,31,,,
,,,,,12,57,,12,31,,,
,,,,,13,71,,14,15,,,
,,,,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,,,,
,,,,,16.639,,16.639,,,
,,,,,7.187,,7.108,,,
,,,,,36,,33,,,
,,,,,5,,5,,,
