10% TAA, 0,129% fallido, 78,65% recuperación,,,,
Bono,Vida Media,TIR,Duración,Fecha fin
Clase A,6,56,3,343%,5,407,22-sep-22
Valor IO,N.A.,5,109%,1,509,22-sep-09
Clase B,11,09,3,529%,8,773,22-sep-22
Clase C,11,09,3,820%,8,615,22-sep-22
,,,,
Clase D,11,09,5,392%,7,836,22-sep-22
