15% TAA, 0,129% fallido, 78,65% recuperación,,,,
Bono,Vida Media,TIR,Duración,Fecha fin
Clase A,4,70,3,344%,4,050,22-jun-18
Valor IO,N.A.,5,109%,1,509,22-sep-09
Clase B,8,11,3,529%,6,763,22-jun-18
Clase C,8,11,3,821%,6,667,22-jun-18
,,,,
Clase D,8,11,5,392%,6,185,22-jun-18
