12% TAA, 0,129% fallido, 78,65% recuperación,,,,
Bono,Vida Media,TIR,Duración,Fecha fin
Clase A,5,71,3,343%,4,796,22-dic-20
Valor IO,N.A.,5,109%,1,509,22-sep-09
Clase B,9,72,3,529%,7,870,22-dic-20
Clase C,9,72,3,821%,7,742,22-dic-20
,,,,
Clase D,9,72,5,392%,7,103,22-dic-20
