Tipo Máximo,Saldo Nominal Pendiente
de Vencimiento de los
préstamos hipotecarios,% sobre Total del Saldo Nominal
Pendiente de Vencimiento de los
préstamos hipotecarios
20,00,234.516.429,66,43,99
Total,234.516.429,66,43,99
