,,S&P,,,,Fitch,,,Moody’s,,
,,Calificación,Fecha,,Calificación,,Fecha,,Calificación,Fecha,
,Corto,-,-,,F2,,Junio/2007,,P1,Abril 2007,
,Plazo,,,,,,,,,,
,Largo,-,-,,A-,,Junio/2007,,A2,Abril 2007,
,Plazo,,,,,,,,,,
