,,,,S&P,,,,Fitch,,,,,Moody’s,,
,,,Calificación,,Fecha,,Calificación,,Fecha,Calificac.,,,,Fecha,
,Corto Plazo,,A-1,,Junio 2007,,F1+,,Junio 2007,P1,,,,Junio 2007,
,Largo Plazo,,A+,,Junio 2007,,A+,,Junio 2007,A1,,,,Junio 2007,
