AyT Goya Hipotecario III, FTA,,
,,
Distribución por Índice de Referencia,,
Índice de Referencia P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d e e ré r s . Vid M a e d re ia s i p d o u n al d a e ñ r. os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial Pl m az e o d i T a o p ta o l n a d ñ e o r s,,
,,
Euribor 28.375 99,44% 4.177.728.208,99 99,67% 147.232,71 1,78% 25,22 1,86 4.522.419.131,70 27,08
Mibor 46 0,16% 1.637.954,55 0,04% 35.607,71 2,96% 11,13 8,54 3.246.816,06 19,67
Tipo Fijo 114 0,40% 12.157.992,71 0,29% 106.649,06 5,29% 21,86 1,79 13.005.516,24 23,65,,
,,
Totales 28.535 100% 4.191.524.156,25 100,00% 146.890,63 1,79% 25,20 1,86 4.538.671.464,00 27,07,,
