Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
5.m01ín -i m6.o0 0,Préstamos hipotecarios
5 0,42,Principal pendiente
258.230,03 0,20,%Tipo*
,,,interé5s, 4m8í n .
6.01 - 7.00,1 0,08,26.723,92 0,02,7,00
Sin TIN mínimo,257 21,74,28.965.734,03 22,81,
Total 1.182 100,00 126.998.622,08 100,00,,,
*Tipo de interés mínimo medio del intervalo ponderado por el principal pendiente.,,,
