,Bonos,,
Vida media (años),8,64,7,84,7,15
TIR,1,746%,1,746%,1,746%
Duración (años),7,65,7,00,6,43
Vencimiento final,14 04 2036,16 10 2034,14 07 2033
(en años),21,78,20,29,19,03
