Morosidad,0 días,Hasta 30 días,Entre 31 y 60 días,Entre 61 y 90 días,Superior a 90 días
Auto Nuevo,96,38%,1,37%,0,68%,0,73%,0,85%
Auto Usado,94,42%,1,99%,0,99%,0,99%,1,62%
