Gastos,Euros
Tasas CNMV (para la admisión a cotización),3.440.- €
Tasas AIAF,1.891.- €
Tasas Iberclear,0.- €
Otros (Dirección, asesoramiento legal, notaría,
auditoría y estructuración),8.016,74.- €
TOTAL,13.347,74.- €
