Fitch,Significado
F-1,Capacidad superior de devolver puntualmente los compromisos de
deuda emitida a un plazo inferior a un año.
Puede ir acompañado del símbolo + si la seguridad es extrema.
F-2,Fuerte capacidad de devolver puntualmente los compromisos de deuda
emitida a un plazo inferior a un año.
F-3,Capacidad aceptable de devolver puntualmente los compromisos de
deuda emitida a un plazo inferior a un año
B,Sin las características de ninguna de las categorías anteriores..
