Moody’s,Significado
P-1,Capacidad superior de devolver puntualmente los compromisos
de deuda emitida a un plazo inferior a un año.
P-2,Fuerte capacidad de devolver puntualmente los compromisos de
deuda emitida a un plazo inferior a un año.
P-3,Capacidad aceptable de devolver puntualmente los
compromisos de deuda emitida a un plazo inferior a un año.
No Prime,Sin las características de ninguna de las categorías anteriores.
