,Margen
Grupo 1,
Serie 1-A1,0,00%-0,06%
Serie 1-A2,0,12%-0,18%
Serie 1-B,0,20%-0,35%
Serie 1-C,0,40%-0,50%
Serie 1-D,3,50%
