Date,EURIBOR 3m,Series A,Series B
03/03/05,2.135,2.255,2.485
25/01/05,2.144,2.264,2.494
24/01/05,2.143,2.263,2.493
21/01/05,2.143,2.263,2.493
20/01/05,2.144,2.264,2.494
19/01/05,2.143,2.263,2.493
31/12/04,2.155,2.275,2.505
