TDA CAM 4, FONDO DE TITULIZACIÓN DE ACTIVOS,,,,
Variations in the hypothesis established for the Financial Service of the Fund table,,,,
EURIBOR 2.136%,,,,
Assumption,,5% CPR,10% CPR,15% CPR
Series A,Average Life (years),7.17,5.29,4.11
,Yield,2.31%,2.31%,2.31%
